College Name,SAT Math,SAT R/W,Admission Rate
Adelphi University,530-630,530-620,75%
Agnes Scott College,520-620,560-670,68%
Albion College,470-570,460-590,75%
Alfred University,490-600,480-600,64%
Allegheny College,560-670,580-680,73%
American University,590-680,630-710,39%
Amherst College,710-790,700-760,12%
Appalachian State University,540-630,560-640,80%
Arizona State University,550-670,550-650,88%
Assumption College,530-610,540-610,81%
Auburn University,570-670,590-650,85%
Augustana College,550-640,540-640,57%
Austin College,550-650,560-660,49%
Babson College,650-750,620-700,27%
Ball State University,510-590,510-610,69%
Bard College,590-700,630-718,59%
Barnard College,670-770,680-748,14%
Bates College,590-710,620-710,14%
Baylor University,590-680,600-680,68%
Belmont University,540-640,580-660,83%
Beloit College,540-660,520-660,58%
Bennington College,580-670,660-730,60%
Bentley University,600-700,580-660,58%
Berea College,540-643,560-620,33%
Berry College,525-610,540-630,77%
Binghamton University,650-740,640-710,43%
Birmingham Southern College,540-650,570-660,60%
Bloomsburg University of Pennsylvania,480-570,480-580,89%
Boise State University,510-600,520-610,77%
Boston College,670-770,660-730,26%
Boston University,670-780,640-720,20%
Bowdoin College,670-770,660-740,84%
Bowling Green State University,510-600,510-610,75%
Bradley University,540-650,540-630,73%
Brandeis University,680-790,640-720,34%
Brigham Young University-Provo,590-710,610-700,69%
Brown University,730-790,710-770,95%
Bryant University,560-650,560-630,76%
Bryn Mawr College,610-760,630-740,38%
Bucknell University,610-710,610-690,38%
Butler University,570-660,580-660,76%
"Cal Poly, Pomona",510-640,500-610,65%
"Cal Poly, San Luis Obispo",610-720,610-690,38%
California Institute of Technology,790-800,740-780,96%
"California State University, Fresno",440-540,450-560,90%
"California State University, Fullerton",500-590,500-590,68%
"California State University, Long Beach",510-620,510-620,42%
Canisius College,520-620,520-620,76%
Carleton College,670-770,660-750,21%
Carnegie Mellon University,760-800,700-760,17%
Case Western Reserve University,700-790,640-730,30%
Catholic University of America,550-655,580-670,82%
Central Michigan University,500-600,500-610,69%
Centre College,540-680,560-660,72%
Chapman University,580-680,590-670,58%
Christopher Newport University,530-620,560-650,76%
Citadel Military College of South Carolina,510-600,520-610,80%
Claremont McKenna College,670-770,660-730,13%
Clark University,570-670,580-680,47%
Clarkson University,590-690,560-660,78%
Clemson University,600-700,610-690,62%
Coastal Carolina University,510-580,510-600,70%
Colby College,700-780,680-740,10%
Colgate University,650-750,650-720,27%
College of Charleston,520-600,550-640,74%
College of Saint Benedict,510-570,560-630,84%
College of the Holy Cross,650-720,640-710,38%
College of William and Mary,640-750,660-740,42%
Colorado College,610-740,630-720,14%
Colorado School of Mines,650-740,620-700,55%
Colorado State University,530-640,540-640,84%
Columbia University,750-800,720-770,96%
Connecticut College,660-730,650-720,38%
Cooper Union for the Advancement of Science and Art,700-790,630-710,18%
Cornell College,520-630,548-650,82%
Cornell University,720-790,680-750,11%
Creighton University,570-670,570-670,77%
CUNY Bernard M Baruch College,590-700,560-650,41%
CUNY Brooklyn College,520-600,500-580,50%
CUNY City College,530-650,520-610,51%
CUNY Hunter College,560-650,530-610,40%
CUNY Lehman College,480-540,480-540,42%
Dartmouth College,730-790,710-770,93%
Davidson College,650-740,650-720,20%
Denison University,620-740,600-690,28%
DePaul University,530-640,530-640,70%
DePauw University,560-710,550-650,68%
Dickinson College,600-690,620-690,52%
Drake University,550-680,560-660,68%
Drew University,540-640,560-660,73%
Drexel University,590-700,590-680,77%
Duke University,750-800,720-770,95%
Duquesne University,550-630,570-640,77%
Earlham College,550-670,560-670,59%
East Carolina University,500-570,500-590,88%
Eastern Connecticut State University,490-580,500-600,70%
Eastern Kentucky University,470-580,480-590,98%
Eckerd College,530-625,560-660,69%
Elizabethtown College,540-640,540-640,86%
Elon University,560-660,580-660,72%
Embry-Riddle Aeronautical University,560-670,560-660,61%
Emerson College,580-690,610-690,41%
Emory University,700-790,680-740,19%
Endicott College,540-620,560-620,70%
Fairfield University,590-670,600-670,56%
Fitchburg State University,480-560,490-580,88%
Florida Agricultural and Mechanical University,510-560,520-590,33%
Florida Atlantic University,520-600,540-620,75%
Florida Gulf Coast University,520-590,540-620,77%
Florida Institute of Technology,570-670,560-660,70%
Florida International University,540-620,570-640,58%
Florida Southern College,550-635,560-650,50%
Florida State University,600-670,620-680,32%
Fordham University,610-710,620-700,53%
Franklin and Marshall College,620-760,590-680,37%
Franklin W. Olin College of Engineering,755-800,695-770,16%
Furman University,620-700,630-700,65%
George Mason University,540-650,560-650,89%
George Washington University,630-730,640-720,43%
Georgetown College,470-610,500-580,72%
Georgetown University,690-790,690-760,17%
Georgia College,540-605,560-640,86%
Georgia Institute of Technology,700-790,670-740,21%
Georgia Southern University,490-570,503-600,91%
Georgia State University,470-580,480-580,67%
Gettysburg College,630-710,640-700,48%
Gonzaga University,580-680,580-670,73%
Goucher College,490-600,500-630,79%
Grinnell College,683-788,670-750,19%
Grove City College,550-690,580-690,79%
Gustavus Adolphus College, , ,71%
Hamilton College,700-760,680-750,18%
Hampshire College, , ,59%
Hanover College,530-610,530-620,69%
Harvard University,740-800,720-780,94%
Harvey Mudd College,770-800,720-770,18%
Haverford College,690-770,670-750,18%
Hendrix College,560-660,600-680,71%
High Point University,530-620,540-620,77%
Hillsdale College,640-723,650-740,36%
Hobart William Smith Colleges,590-680,590-680,62%
Hofstra University,580-670,580-660,69%
Hope College,540-650,550-660,78%
Howard University,550-620,580-640,39%
Illinois Institute of Technology,630-720,570-670,61%
Illinois State University,510-610,510-610,81%
Illinois Wesleyan University,550-660,550-640,57%
Indiana University Bloomington,560-680,560-670,80%
Indiana University-Purdue University-Indianapolis,500-590,500-600,79%
Iowa State University,530-680,480-630,88%
Ithaca College,570-650,590-670,76%
James Madison University,550-630,570-650,80%
John Carroll University,530-630,530-630,88%
Johns Hopkins University,760-800,720-770,99%
Juniata College,550-650,570-670,71%
Kalamazoo College,570-680,580-680,74%
Kansas State University, , ,95%
Kent State University at Kent,510-600,510-610,84%
Kenyon College,620-730,660-730,37%
Kettering University,600-700,580-660,74%
Knox College,540-660,540-660,71%
La Salle University,480-580,500-600,76%
Lafayette College,630-730,620-710,36%
Lake Forest College,540-650,545-640,58%
Lawrence University,590-710,600-700,69%
Lehigh University,650-740,610-693,50%
Lewis & Clark College,580-680,618-700,81%
Linfield University,520-600,530-610,80%
Louisiana State University,540-640,550-660,73%
Loyola Marymount University,600-700,610-690,50%
Loyola University Chicago,560-670,570-660,71%
Loyola University Maryland,560-658,580-670,80%
Lycoming College,500-600,510-610,65%
Macalester College,640-730,640-720,39%
Manhattan College,520-610,510-610,78%
Marist College,560-650,570-650,55%
Marquette University,580-680,580-680,82%
Marshall University,460-560,480-590,89%
Massachusetts College of Liberal Arts,480-600,480-580,88%
Massachusetts Institute of Technology,780-800,730-780,00%
Massachusetts Maritime Academy,520-595,510-590,92%
McDaniel College,490-600,490-610,81%
Mercer University,580-670,600-670,78%
Mercyhurst University,520-610,510-610,88%
Merrimack College,479-638,481-638,82%
Messiah College,530-650,550-660,78%
Miami University,580-690,580-680,92%
Michigan State University,550-660,550-640,76%
Michigan Technological University,590-690,570-660,70%
Middlebury College,670-770,670-750,22%
Millersville University of Pennsylvania,490-580,490-590,85%
Millsaps College,530-630,560-650,70%
Milwaukee School of Engineering,600-700,580-670,60%
Mississippi State University,530-640,520-630,80%
Missouri University of Science and Technology,633-718,595-670,81%
Monmouth University,520-600,520-610,79%
Montana State University,540-660,550-660,81%
Montclair State University,490-570,490-590,83%
Moravian College,510-590,520-600,79%
Morehouse College,500-580,500-600,74%
Mount Holyoke College,640-770,630-730,52%
Muhlenberg College,570-670,600-680,62%
Murray State University,510-620,510-620,77%
New College of Florida,550-670,610-705,70%
New Jersey Institute of Technology,610-720,590-670,66%
New Mexico Institute of Mining and Technology,580-700,570-670,97%
New Mexico State University-Main Campus,470-570,480-580,63%
