rank,College Name,Location,nces_id,state,address,phone_number,website,type,awards_offered,campus_housing,student_population,student_faculty_ratio,SAT Math,SAT R/W,Admission Rate,Admissions Deadline,Overall Grade,College Grade Card,Popular Majors,College Description,Avg Salary,Employment Rate,College Highlights
1,Massachusetts Institute of Technology,Cambridge,166683.0,MA,77 Massachusetts Avenue Cambridge Massachusetts 02139-4307,(617) 253-1000,web.mit.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degreeDoctor's degree - research/scholarship,Yes,11254 (4361 undergraduate),3 to 1,780-800,730-780,00%,November 1,A+,"Academics : A+,Value : A+,Diversity : A+,Campus : A-,Athletics : B-,Party Scene : A,Professors : A+,Location : A+,Dorms : A,Campus Food : B-,Student Life : A+,Safety : B+","Computer Science,Mechanical Engineering,Mathematics,Physics,Chemical Engineering,Electrical Engineering,Aerospace Engineering,Computational and Applied Mathematics,Bioengineering and Biomedical Engineering,Materials Engineering","MIT is an elite private college located in Cambridge, Massachusetts in the Boston Area. It is a small institution with an enrollment of 4,501 undergraduate students. Admissions is extremely competitive as the MIT acceptance rate is only 7%. Popular majors include Computer Science, Mechanical Engineering, and Mathematics. Graduating 95% of students, MIT alumni go on to earn a starting salary of $82,200.","$104,700/ year
National avg salary is $33,028","94%
National is 83%","Colleges with the Best Academics in America:1 of 1,653,Best Colleges in America:1 of 1,652,Best Value Colleges in America:1 of 1,601"
2,Harvard University,Cambridge,166027.0,MA,Massachusetts Hall Cambridge Massachusetts 02138,(617) 495-1000,www.harvard.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,30391 (8527 undergraduate),5 to 1,740-800,720-780,94%,November 1,A+,"Academics : A+,Value : A+,Diversity : A+,Campus : A,Athletics : B+,Party Scene : A,Professors : A+,Location : A+,Dorms : A,Campus Food : A-,Student Life : A+,Safety : B+","Economics,Computer Science,Political Science and Government,History,Social Science Research Methods,Public Health,Computational and Applied Mathematics,Statistics,Research and Experimental Psychology,English","Harvard is an elite private university located in Cambridge, Massachusetts in the Boston Area. It is a mid-size institution with an enrollment of 7,148 undergraduate students. Admissions is extremely competitive as the Harvard acceptance rate is only 5%. Popular majors include Economics, Computer Science, and Political Science and Government. Graduating 97% of students, Harvard alumni go on to earn a starting salary of $70,300.","$89,700/ year
National avg salary is $33,028","89%
National is 83%","Best Colleges for Biology in America:1 of 1,079,Best Colleges for Political Science in America:1 of 804,Best Colleges for Math in America:1 of 772"
3,Stanford University,Stanford ,243744.0,CA,Stanford California 94305,(650) 723-2300,www.stanford.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,15953 (6366 undergraduate),4 to 1,720-800,700-770,96%,November 1,A+,"Academics : A+,Value : A+,Diversity : A+,Campus : A,Athletics : A+,Party Scene : A-,Professors : A+,Location : B,Dorms : A,Campus Food : A,Student Life : A+,Safety : B","Computer Science,Engineering,Biology,Economics,Cognitive Science,Mechanical Engineering,Liberal Arts and Humanities,Electrical Engineering,Political Science and Government,International Relations","Stanford is an elite private university located in Stanford, California in the San Francisco Bay Area. It is a mid-size institution with an enrollment of 6,996 undergraduate students. Admissions is extremely competitive as the Stanford acceptance rate is only 4%. Popular majors include Computer Science, Engineering, and Biology. Graduating 94% of students, Stanford alumni go on to earn a starting salary of $70,400.","$94,000/ year
National avg salary is $33,028","94%
National is 83%","Hardest Colleges to Get Into in America:1 of 1,702,Best Colleges for Student Athletes in America:1 of 1,400,Best Colleges for Psychology in America:1 of 1,100"
4,Cornell University,Ithaca,190415.0,NY,300 Day Hall Ithaca New York 14853,(607) 255-2000,www.cornell.edu/,4-year Private not-for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,23620 (14743 undergraduate),9 to 1,720-790,680-750,11%,November 1,A+,"Academics : A+,Value : A+,Diversity : A,Campus : A,Athletics : B+,Party Scene : A,Professors : A+,Location : B-,Dorms : B-,Campus Food : A+,Student Life : A+,Safety : B-","Biology,Computer Science,Hospitality and Tourism Management,Business,Agricultural Business,Economics,Mechanical Engineering,Information Technology,Political Science and Government,Engineering","Cornell is a highly rated private university located in Ithaca, New York. It is a large institution with an enrollment of 15,038 undergraduate students. Admissions is extremely competitive as the Cornell acceptance rate is 11%. Popular majors include Biology, Computer Science, and Hospitality and Tourism Management. Graduating 95% of students, Cornell alumni go on to earn a starting salary of $64,800.","$77,200/ year
National avg salary is $33,028","93%
National is 83%","Best Colleges for Agricultural Sciences in America:1 of 142,Best Colleges for Information Technology in America:2 of 238,Best Colleges for Architecture in America:2 of 156"
5,"University of California, Berkeley",Berkeley ,,,,,,,,,,,650-790,640-740,18%,,A+,"Academics : A+,Value : A+,Diversity : A+,Campus : B,Athletics : A,Party Scene : A,Professors : A,Location : A,Dorms : D-,Campus Food : C+,Student Life : A,Safety : C-","Economics,Computer Science,Cellular Biology,Political Science and Government,Electrical Engineering,Environmental Science,Business,Cognitive Science,Sociology,Computational and Applied Mathematics","UC Berkeley is a highly rated public university located in Berkeley, California in the San Francisco Bay Area. It is a large institution with an enrollment of 29,991 undergraduate students. Admissions is competitive as the UC Berkeley acceptance rate is 16%. Popular majors include Economics, Computer Science, and Cellular Biology. Graduating 93% of students, UC Berkeley alumni go on to earn a starting salary of $48,700.","$64,700/ year
National avg salary is $33,028","88%
National is 83%","Best Colleges for Architecture in America:7 of 156,Top Public Universities in America:8 of 691,Best Big Colleges in America:9 of 128"
6,Columbia University in the City of New York,New York City,190150.0,NY,West 116 St and Broadway New York New York 10027,(212) 854-1754,www.columbia.edu/,4-year Private not-for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,30135 (8148 undergraduate),6 to 1,,,,,A+,"Academics : A+,Value : A+,Diversity : A+,Campus : A,Athletics : B+,Party Scene : A,Professors : A+,Location : A+,Dorms : A,Campus Food : A,Student Life : A+,Safety : B","Economics,Computer Science,Political Science and Government,Research and Experimental Psychology,History,English,Social Sciences,Engineering,Philosophy,Neuroscience and Neurobiology","This is a place unlike any other. Where a renowned Core Curriculum is fueled by an incredibly diverse community. 6,000 undergraduate students from all 50 states and more than 100 countries find a home on our residential campus in Morningside Heights: your corner of New York City. Undergraduates in Columbia College and Columbia Engineering can choose from nearly 100 areas of study and enhance their classroom conversations through research at 200+ research centers and institutes. Your Columbia education will be the foundation for a lifetime of learning, collaboration, and the unending pursuit of truth and understanding.","$83,300/ year
National avg salary is $33,028","89%
National is 83%","Best Colleges for English in America:2 of 890,Best Colleges for Environmental Science in America:3 of 631,Best Colleges for Global Studies in America:3 of 206"
7,University of Michigan,Ann Arbor ,,,,,,,,,,,680-780,660-780,26%,November 1,A+,"Academics : A+,Value : A+,Diversity : A,Campus : A,Athletics : A+,Party Scene : A+,Professors : A+,Location : A,Dorms : B+,Campus Food : A,Student Life : A+,Safety : B","Information Science,Business,Economics,Research and Experimental Psychology,Mechanical Engineering,Physiological Psychology,Political Science and Government,Communications,Biochemistry and Molecular Biology,International Studies","Michigan is a highly rated public university located in Ann Arbor, Michigan in the Detroit Area. It is a large institution with an enrollment of 30,204 undergraduate students. Admissions is competitive as the Michigan acceptance rate is 23%. Popular majors include Information Science, Business, and Economics. Graduating 93% of students, Michigan alumni go on to earn a starting salary of $49,800.","$63,400/ year
National avg salary is $33,028","94%
National is 83%","Top Public Universities in America:2 of 691,Best Colleges for Sports Management in America:2 of 435,Best Colleges for Kinesiology and Physical Therapy in America:3 of 585"
8,University of Washington,Seattle ,,,,,,,,,,,610-757,590-700,56%,November 15,A,"Academics : A,Value : A,Diversity : A+,Campus : A,Athletics : A+,Party Scene : A,Professors : A-,Location : A+,Dorms : B,Campus Food : B,Student Life : A+,Safety : C+","Research and Experimental Psychology,Communications,Political Science and Government,Biology,Computer Science,Economics,Biochemistry and Molecular Biology,Finance,Computer and Information Sciences,Information Technology","University of Washington is a highly rated public university located in Seattle, Washington. It is a large institution with an enrollment of 29,332 undergraduate students. Admissions is fairly competitive as the University of Washington acceptance rate is 52%. Popular majors include Research and Experimental Psychology, Communications, and Political Science and Government. Graduating 84% of students, University of Washington alumni go on to earn a starting salary of $44,900.","$57,700/ year
National avg salary is $33,028","91%
National is 83%","Best Colleges for Information Technology in America:13 of 238,Most Diverse Colleges in America:19 of 1,616,Best Colleges for Communications in America:23 of 917"
9,University of Pennsylvania,Philadelphia,215062.0,PA,34th & Spruce Street Philadelphia Pennsylvania 19104-6303,(215) 898-5000,www.upenn.edu/,4-year Private not-for-profit,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,26552 (11155 undergraduate),6 to 1,750-800,710-770,96%,November 1,A+,"Academics : A+,Value : A+,Diversity : A+,Campus : A-,Athletics : B,Party Scene : A+,Professors : A+,Location : A+,Dorms : B-,Campus Food : B-,Student Life : A+,Safety : B+","Finance,Management Sciences and Information Systems,Philosophy,Nursing,Economics,Business,Biology,Political Science and Government,Information Science,Neuroscience and Neurobiology","Penn is an elite private university located in Philadelphia, Pennsylvania. It is a large institution with an enrollment of 10,448 undergraduate students. Admissions is extremely competitive as the Penn acceptance rate is only 8%. Popular majors include Finance, Management Sciences and Information Systems, and Philosophy. Graduating 96% of students, Penn alumni go on to earn a starting salary of $71,600.","$85,900/ year
National avg salary is $33,028","91%
National is 83%","Best Colleges for Business in America:1 of 1,223,Best Colleges for Accounting and Finance in America:1 of 814,Best Colleges for Nursing in America:1 of 726"
10,University of Minnesota-Twin Cities,Minneapolis ,174066.0,MN,100 Church Street SE Minneapolis Minnesota 55455-0213,(612) 625-5000,twin-cities.umn.edu/,4-year Public,Less than one year certificateOne but less than two years certificateTwo but less than 4 years certificateBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,52017 (36061 undergraduate),17 to 1,640-760,600-700,70%,,A,"Academics : A,Value : A,Diversity : A,Campus : A-,Athletics : A+,Party Scene : A+,Professors : A,Location : A+,Dorms : C+,Campus Food : B+,Student Life : A+,Safety : C","Psychology,Computer Science,Economics,Journalism,Biology,Finance,Education,Political Science and Government,Mathematics,Mechanical Engineering","University of Minnesota is a highly rated public university located in Minneapolis, Minnesota. It is a large institution with an enrollment of 29,939 undergraduate students. Admissions is fairly competitive as the University of Minnesota acceptance rate is 57%. Popular majors include Psychology, Computer Science, and Economics. Graduating 83% of students, University of Minnesota alumni go on to earn a starting salary of $41,800.","$51,900/ year
National avg salary is $33,028","94%
National is 83%","Best Colleges for Agricultural Sciences in America:12 of 142,Best Colleges for Information Technology in America:14 of 238,Top Public Universities in America:25 of 691"
