nces_id,College Name,state,address,phone_number,website,type,awards_offered,campus_housing,student_population,student_faculty_ratio
222178,Abilene Christian University,TX,Abilene Texas 79699,(325) 674-2000,www.acu.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - other,Yes,5291 (3494 undergraduate),13 to 1
138558,Abraham Baldwin Agricultural College,GA,2802 Moore Hwy Tifton Georgia 31793-2601,(229) 391-5001,www.abac.edu/,4-year primarily associate's Public,Associate's degreeBachelor's degree,Yes,3990 (all undergraduate),19 to 1
488031,Abraham Lincoln University,CA,All programs offered completely via Distance education100 West Broadway Suite 600 Glendale California 91210,(213) 252-5100,www.alu.edu/,4-year Private for-profit,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,No,265 (69 undergraduate),3 to 1
172866,Academy College,MN,1600 W. 82nd Street Suite 100 Bloomington Minnesota 55431-1411,(952) 851-0066,www.academycollege.edu/,4-year Private for-profit,Associate's degreeBachelor's degree,No,95 (all undergraduate),11 to 1
108232,Academy of Art University,CA,79 New Montgomery San Francisco California 94105,(800) 544-2787,www.academyart.edu/,4-year Private for-profit,Associate's degreeTwo but less than 4 years certificateBachelor's degreePostbaccalaureate certificateMaster's degree,Yes,8928 (6124 undergraduate),14 to 1
439969,Acupuncture and Massage College,FL,10506 N Kendall Drive Miami Florida 33176,(305) 595-9500,www.amcollege.edu/,4-year primarily associate's Private for-profit,Less than one year certificateAssociate's degreeBachelor's degreeMaster's degree,No,171 (41 undergraduate),24 to 1
126182,Adams State University,CO,208 Edgemont Blvd Alamosa Colorado 81101,(719) 587-7011,www.adams.edu/,4-year Public,Associate's degreeBachelor's degreeMaster's degreeDoctor's degree - research/scholarship,Yes,3164 (1902 undergraduate),13 to 1
188429,Adelphi University,NY,South Ave Garden City New York 11530-0701,(516) 877-3000,www.adelphi.edu/,4-year Private not-for-profit,One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,7584 (5124 undergraduate),12 to 1
168528,Adrian College,MI,110 S Madison St Adrian Michigan 49221-2575,(517) 265-5161,www.adrian.edu/,4-year Private not-for-profit,Less than one year certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,Yes,1865 (1788 undergraduate),14 to 1
133872,AdventHealth University,FL,671 Winyah Drive Orlando Florida 32803,(407) 303-7742,www.ahu.edu/,4-year Private not-for-profit,Less than one year certificateAssociate's degreeBachelor's degreeMaster's degreeDoctor's degree - professional practice,Yes,1802 (1249 undergraduate),7 to 1
